year,month,fuel,energy_gw
2015,January,NUCLEAR,8489.15
2015,January,GAS,1846.24
2015,January,HYDRO,3567.44
2015,January,WIND,950.34
2015,January,SOLAR,1.15
2015,January,BIOFUEL,34.06
2015,February,NUCLEAR,7731.11
2015,February,GAS,2385.53
2015,February,HYDRO,3020.66
2015,February,WIND,768.91
2015,February,SOLAR,1.49
2015,February,BIOFUEL,29.38
2015,March,NUCLEAR,8749.34
2015,March,GAS,1066.95
2015,March,HYDRO,3063.28
2015,March,WIND,811.73
2015,March,SOLAR,15.17
2015,March,BIOFUEL,41.95
2015,April,NUCLEAR,7451.97
2015,April,GAS,752.23
2015,April,HYDRO,2945.79
2015,April,WIND,852.2
2015,April,SOLAR,22.33
2015,April,BIOFUEL,27.66
2015,May,NUCLEAR,7433.69
2015,May,GAS,757.49
2015,May,HYDRO,3336.0
2015,May,WIND,628.54
2015,May,SOLAR,26.53
2015,May,BIOFUEL,38.07
2015,June,NUCLEAR,7644.8
2015,June,GAS,945.0
2015,June,HYDRO,3154.32
2015,June,WIND,500.39
2015,June,SOLAR,26.38
2015,June,BIOFUEL,39.24
2015,July,NUCLEAR,8343.58
2015,July,GAS,1498.25
2015,July,HYDRO,3055.85
2015,July,WIND,395.8
2015,July,SOLAR,30.47
2015,July,BIOFUEL,46.91
2015,August,NUCLEAR,8440.35
2015,August,GAS,1275.89
2015,August,HYDRO,2805.69
2015,August,WIND,459.28
2015,August,SOLAR,28.87
2015,August,BIOFUEL,40.36
2015,September,NUCLEAR,6519.71
2015,September,GAS,1855.63
2015,September,HYDRO,2696.06
2015,September,WIND,574.06
2015,September,SOLAR,33.12
2015,September,BIOFUEL,34.27
2015,October,NUCLEAR,5794.57
2015,October,GAS,1508.81
2015,October,HYDRO,2631.46
2015,October,WIND,1083.57
2015,October,SOLAR,31.63
2015,October,BIOFUEL,25.03
2015,November,NUCLEAR,7808.96
2015,November,GAS,700.29
2015,November,HYDRO,2855.0
2015,November,WIND,919.1
2015,November,SOLAR,26.17
2015,November,BIOFUEL,42.52
2015,December,NUCLEAR,7848.6
2015,December,GAS,773.82
2015,December,HYDRO,3229.92
2015,December,WIND,1038.41
2015,December,SOLAR,11.09
2015,December,BIOFUEL,46.35
2016,January,NUCLEAR,8459.11
2016,January,GAS,1079.04
2016,January,HYDRO,3412.83
2016,January,WIND,1197.59
2016,January,SOLAR,14.38
2016,January,BIOFUEL,37.45
2016,February,NUCLEAR,7849.61
2016,February,GAS,866.18
2016,February,HYDRO,3226.38
2016,February,WIND,934.19
2016,February,SOLAR,19.12
2016,February,BIOFUEL,38.99
2016,March,NUCLEAR,7918.91
2016,March,GAS,751.0
2016,March,HYDRO,3250.77
2016,March,WIND,655.62
2016,March,SOLAR,36.36
2016,March,BIOFUEL,48.49
2016,April,NUCLEAR,6911.26
2016,April,GAS,666.85
2016,April,HYDRO,3197.3
2016,April,WIND,605.68
2016,April,SOLAR,46.76
2016,April,BIOFUEL,34.76
2016,May,NUCLEAR,6092.72
2016,May,GAS,1018.74
2016,May,HYDRO,3388.71
2016,May,WIND,603.74
2016,May,SOLAR,57.94
2016,May,BIOFUEL,45.24
2016,June,NUCLEAR,7322.47
2016,June,GAS,1020.51
2016,June,HYDRO,3085.51
2016,June,WIND,584.95
2016,June,SOLAR,59.04
2016,June,BIOFUEL,28.11
2016,July,NUCLEAR,8244.42
2016,July,GAS,1577.12
2016,July,HYDRO,2801.12
2016,July,WIND,524.08
2016,July,SOLAR,56.01
2016,July,BIOFUEL,44.37
2016,August,NUCLEAR,8082.7
2016,August,GAS,2121.96
2016,August,HYDRO,2708.5
2016,August,WIND,504.42
2016,August,SOLAR,54.71
2016,August,BIOFUEL,61.0
2016,September,NUCLEAR,7695.77
2016,September,GAS,1091.33
2016,September,HYDRO,2582.91
2016,September,WIND,568.42
2016,September,SOLAR,47.02
2016,September,BIOFUEL,38.74
2016,October,NUCLEAR,7719.73
2016,October,GAS,744.37
2016,October,HYDRO,2607.57
2016,October,WIND,750.77
2016,October,SOLAR,33.82
2016,October,BIOFUEL,49.62
2016,November,NUCLEAR,7525.33
2016,November,GAS,904.63
2016,November,HYDRO,2566.48
2016,November,WIND,955.57
2016,November,SOLAR,28.75
2016,November,BIOFUEL,34.74
2016,December,NUCLEAR,7879.69
2016,December,GAS,918.38
2016,December,HYDRO,2891.9
2016,December,WIND,1450.4
2016,December,SOLAR,12.49
2016,December,BIOFUEL,29.92
2017,January,NUCLEAR,8387.85
2017,January,GAS,554.1
2017,January,HYDRO,3231.18
2017,January,WIND,1045.2
2017,January,SOLAR,17.66
2017,January,BIOFUEL,35.26
2017,February,NUCLEAR,6809.36
2017,February,GAS,415.71
2017,February,HYDRO,3008.55
2017,February,WIND,1232.15
2017,February,SOLAR,31.87
2017,February,BIOFUEL,28.74
2017,March,NUCLEAR,7351.55
2017,March,GAS,502.03
2017,March,HYDRO,3304.34
2017,March,WIND,1185.13
2017,March,SOLAR,52.81
2017,March,BIOFUEL,42.79
2017,April,NUCLEAR,6868.1
2017,April,GAS,198.29
2017,April,HYDRO,3275.56
2017,April,WIND,698.61
2017,April,SOLAR,49.27
2017,April,BIOFUEL,33.54
2017,May,NUCLEAR,7043.21
2017,May,GAS,238.62
2017,May,HYDRO,3462.01
2017,May,WIND,535.05
2017,May,SOLAR,52.45
2017,May,BIOFUEL,39.28
2017,June,NUCLEAR,7673.82
2017,June,GAS,288.03
2017,June,HYDRO,3278.38
2017,June,WIND,523.75
2017,June,SOLAR,58.46
2017,June,BIOFUEL,25.26
2017,July,NUCLEAR,8330.62
2017,July,GAS,512.0
2017,July,HYDRO,3130.84
2017,July,WIND,377.63
2017,July,SOLAR,69.86
2017,July,BIOFUEL,44.73
2017,August,NUCLEAR,7920.82
2017,August,GAS,624.46
2017,August,HYDRO,2965.68
2017,August,WIND,517.1
2017,August,SOLAR,67.76
2017,August,BIOFUEL,42.35
2017,September,NUCLEAR,7060.23
2017,September,GAS,943.02
2017,September,HYDRO,2755.23
2017,September,WIND,374.1
2017,September,SOLAR,64.39
2017,September,BIOFUEL,42.73
2017,October,NUCLEAR,7498.04
2017,October,GAS,259.78
2017,October,HYDRO,2761.65
2017,October,WIND,785.54
2017,October,SOLAR,44.49
2017,October,BIOFUEL,35.57
2017,November,NUCLEAR,7479.89
2017,November,GAS,493.02
2017,November,HYDRO,3078.68
2017,November,WIND,919.87
2017,November,SOLAR,21.13
2017,November,BIOFUEL,23.1
2017,December,NUCLEAR,8194.81
2017,December,GAS,838.4
2017,December,HYDRO,3469.19
2017,December,WIND,982.12
2017,December,SOLAR,12.62
2017,December,BIOFUEL,48.79
2018,January,NUCLEAR,8011.32
2018,January,GAS,1089.46
2018,January,HYDRO,3389.13
2018,January,WIND,1505.07
2018,January,SOLAR,18.78
2018,January,BIOFUEL,37.5
2018,February,NUCLEAR,6807.43
2018,February,GAS,653.27
2018,February,HYDRO,2998.13
2018,February,WIND,1062.72
2018,February,SOLAR,24.06
2018,February,BIOFUEL,35.74
2018,March,NUCLEAR,7565.24
2018,March,GAS,491.51
2018,March,HYDRO,2991.24
2018,March,WIND,1072.67
2018,March,SOLAR,59.68
2018,March,BIOFUEL,40.1
2018,April,NUCLEAR,6827.01
2018,April,GAS,561.3
2018,April,HYDRO,2683.95
2018,April,WIND,968.1
2018,April,SOLAR,57.72
2018,April,BIOFUEL,36.18
2018,May,NUCLEAR,7138.81
2018,May,GAS,392.21
2018,May,HYDRO,3400.08
2018,May,WIND,594.22
2018,May,SOLAR,73.96
2018,May,BIOFUEL,33.75
2018,June,NUCLEAR,7182.06
2018,June,GAS,650.05
2018,June,HYDRO,3162.38
2018,June,WIND,615.89
2018,June,SOLAR,71.3
2018,June,BIOFUEL,32.09
2018,July,NUCLEAR,8025.8
2018,July,GAS,1451.95
2018,July,HYDRO,2806.92
2018,July,WIND,511.6
2018,July,SOLAR,78.4
2018,July,BIOFUEL,46.91
2018,August,NUCLEAR,7999.54
2018,August,GAS,1586.83
2018,August,HYDRO,2599.59
2018,August,WIND,560.18
2018,August,SOLAR,67.39
2018,August,BIOFUEL,36.5
2018,September,NUCLEAR,7412.09
2018,September,GAS,1015.0
